tot_claim_cnt_l180d,disb_bank_loan_wo_tbc,day_sinlastloan,tot_active_loans_cnt,tot_active_loans_sum,avg_loan_sum,avg_days_between_contracts
-3,-3,-3,-3,-3,-3,-3.0
0,389592220,471,2,465192220,232596110,113.71428571428571
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
6,0,700,1,208232666,208232666,251.0
6,0,700,1,208232666,208232666,251.0
-3,-3,-3,-3,-3,-3,-3.0
0,389592220,471,2,465192220,232596110,113.71428571428571
0,389592220,471,2,465192220,232596110,113.71428571428571
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
3,700000000,6,1,700000000,700000000,0.0
-3,-3,-3,-3,-3,-3,-3.0
3,700000000,6,1,700000000,700000000,0.0
-3,-3,-3,-3,-3,-3,-3.0
3,700000000,6,1,700000000,700000000,0.0
-3,-3,-3,-3,-3,-3,-3.0
3,700000000,6,1,700000000,700000000,0.0
39,4348396530,179,5,4387728730,877545746,75.13793103448276
-3,-3,-3,-3,-3,-3,-3.0
1,8150077272,281,1,8150077272,8150077272,0.0
-3,-3,-3,-3,-3,-3,-3.0
1,8150077272,281,1,8150077272,8150077272,0.0
-3,-3,-3,-3,-3,-3,-3.0
1,8150077272,281,1,8150077272,8150077272,0.0
-3,-3,-3,-3,-3,-3,-3.0
1,8150077272,281,1,8150077272,8150077272,0.0
39,4348396530,179,5,4387728730,877545746,75.13793103448276
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
4,1000000000,4,1,1000000000,1000000000,810.6666666666666
-3,-3,-3,-3,-3,-3,-3.0
4,1000000000,4,1,1000000000,1000000000,810.6666666666666
-3,-3,-3,-3,-3,-3,-3.0
4,1000000000,4,1,1000000000,1000000000,810.6666666666666
-3,-3,-3,-3,-3,-3,-3.0
0,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
3,307403141,125,3,1101846741,367282247,97.25
2,0,-1,0,-1,-1,-1.0
4,1000000000,4,1,1000000000,1000000000,810.6666666666666
-3,-3,-3,-3,-3,-3,-3.0
0,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
3,307403141,125,3,1101846741,367282247,97.25
2,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
3,307403141,125,3,1101846741,367282247,97.25
0,0,-1,0,-1,-1,-1.0
3,307403141,125,3,1101846741,367282247,97.25
0,0,-1,0,-1,-1,-1.0
2,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
2,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
0,0,187,1,309600000,309600000,170.0
0,0,187,1,309600000,309600000,170.0
2,3767550595,369,1,3767550595,3767550595,399.5
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
2,3767550595,369,1,3767550595,3767550595,399.5
-3,-3,-3,-3,-3,-3,-3.0
0,1374999700,156,1,1374999700,1374999700,238.66666666666666
2,3767550595,369,1,3767550595,3767550595,399.5
-3,-3,-3,-3,-3,-3,-3.0
8,431182433,299,2,431182433,215591216,22.0
-3,-3,-3,-3,-3,-3,-3.0
2,3767550595,369,1,3767550595,3767550595,399.5
0,1374999700,156,1,1374999700,1374999700,238.66666666666666
-3,-3,-3,-3,-3,-3,-3.0
8,431182433,299,2,431182433,215591216,22.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
8,431182433,299,2,431182433,215591216,22.0
0,1374999700,156,1,1374999700,1374999700,238.66666666666666
-3,-3,-3,-3,-3,-3,-3.0
8,431182433,299,2,431182433,215591216,22.0
0,1374999700,156,1,1374999700,1374999700,238.66666666666666
1,7045370606,553,1,7045370606,7045370606,0.0
1,7045370606,553,1,7045370606,7045370606,0.0
2,3692414810,106,2,3692414810,1846207405,60.54545454545455
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
2,3692414810,106,2,3692414810,1846207405,60.54545454545455
2,41667400,680,1,41667400,41667400,118.0
39,4348396530,179,5,4387728730,877545746,75.13793103448276
2,41667400,680,1,41667400,41667400,118.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
1,0,1356,0,-1,-1,155.5
1,7045370606,553,1,7045370606,7045370606,0.0
1,0,1356,0,-1,-1,155.5
2,0,-1,0,-1,-1,-1.0
1,7045370606,553,1,7045370606,7045370606,0.0
-3,-3,-3,-3,-3,-3,-3.0
39,4348396530,179,5,4387728730,877545746,75.13793103448276
2,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
2,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
4,1000000000,4,1,1000000000,1000000000,810.6666666666666
-3,-3,-3,-3,-3,-3,-3.0
2,0,-1,0,-1,-1,-1.0
4,1000000000,4,1,1000000000,1000000000,810.6666666666666
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
5,136001300,29,1,136001300,136001300,8.5
-3,-3,-3,-3,-3,-3,-3.0
5,136001300,29,1,136001300,136001300,8.5
-3,-3,-3,-3,-3,-3,-3.0
5,136001300,29,1,136001300,136001300,8.5
5,136001300,29,1,136001300,136001300,8.5
-3,-3,-3,-3,-3,-3,-3.0
0,1008000000,113,2,1880874400,940437200,233.42857142857142
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
0,1008000000,113,2,1880874400,940437200,233.42857142857142
-3,-3,-3,-3,-3,-3,-3.0
0,1008000000,113,2,1880874400,940437200,233.42857142857142
1,0,309,0,-1,-1,0.0
0,1008000000,113,2,1880874400,940437200,233.42857142857142
1,0,309,0,-1,-1,0.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
0,0,2497,0,-1,-1,0.0
-3,-3,-3,-3,-3,-3,-3.0
1,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
0,0,2497,0,-1,-1,0.0
-3,-3,-3,-3,-3,-3,-3.0
1,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
1,0,-1,0,-1,-1,-1.0
0,0,2497,0,-1,-1,0.0
1,0,-1,0,-1,-1,-1.0
0,0,2497,0,-1,-1,0.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
5,3225259367,173,1,3225259367,3225259367,671.6666666666666
5,3225259367,173,1,3225259367,3225259367,671.6666666666666
2,364000000,34,2,639385500,319692750,331.5
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
2,364000000,34,2,639385500,319692750,331.5
-3,-3,-3,-3,-3,-3,-3.0
2,364000000,34,2,639385500,319692750,331.5
2,364000000,34,2,639385500,319692750,331.5
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
11,11528774954,309,1,11528774954,11528774954,0.0
0,0,71,1,2854052300,2854052300,22.0
-3,-3,-3,-3,-3,-3,-3.0
11,11528774954,309,1,11528774954,11528774954,0.0
0,0,71,1,2854052300,2854052300,22.0
39,4348396530,179,5,4387728730,877545746,75.13793103448276
2,0,934,0,-1,-1,358.5
-3,-3,-3,-3,-3,-3,-3.0
2,0,934,0,-1,-1,358.5
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
2,0,934,0,-1,-1,358.5
-3,-3,-3,-3,-3,-3,-3.0
2,0,934,0,-1,-1,358.5
-3,-3,-3,-3,-3,-3,-3.0
0,456374022,206,2,490874022,245437011,3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
0,456374022,206,2,490874022,245437011,3.0
-3,-3,-3,-3,-3,-3,-3.0
39,4348396530,179,5,4387728730,877545746,75.13793103448276
0,456374022,206,2,490874022,245437011,3.0
-3,-3,-3,-3,-3,-3,-3.0
0,11013249426,54,3,11016945426,3672315142,50.0
0,456374022,206,2,490874022,245437011,3.0
0,11013249426,54,3,11016945426,3672315142,50.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
2,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
2,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
2,0,-1,0,-1,-1,-1.0
2,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
1,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
1,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
4,333333500,236,3,714833200,238277733,258.8333333333333
1,0,-1,0,-1,-1,-1.0
4,333333500,236,3,714833200,238277733,258.8333333333333
1,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
1,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
1,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
1,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
1,0,-1,0,-1,-1,-1.0
13,0,-1,0,-1,-1,0.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
0,591134623,177,2,709934623,354967311,405.5
13,0,-1,0,-1,-1,0.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
0,591134623,177,2,709934623,354967311,405.5
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
1,3369374993,50,2,3382404327,1691202163,315.0
13,0,-1,0,-1,-1,0.0
-3,-3,-3,-3,-3,-3,-3.0
0,591134623,177,2,709934623,354967311,405.5
1,3369374993,50,2,3382404327,1691202163,315.0
13,0,-1,0,-1,-1,0.0
-3,-3,-3,-3,-3,-3,-3.0
0,591134623,177,2,709934623,354967311,405.5
-3,-3,-3,-3,-3,-3,-3.0
1,3369374993,50,2,3382404327,1691202163,315.0
1,3369374993,50,2,3382404327,1691202163,315.0
4,1947640089,15,7,2129569889,304224269,-27.88888888888889
4,1947640089,15,7,2129569889,304224269,-27.88888888888889
-3,-3,-3,-3,-3,-3,-3.0
2,0,4,1,314000000,314000000,57.148148148148145
-3,-3,-3,-3,-3,-3,-3.0
0,0,370,0,-1,-1,728.3333333333334
-3,-3,-3,-3,-3,-3,-3.0
